Fecha,Departamento,Municipio,DELITO,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,Cantidad
01/01/2019 00:00,AMAZONAS,LETICIA (CT),ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,18:00:00,NO REPORTADO,RURAL,CASAS DE APUESTAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,7,FEMENINO,-,COLOMBIA,NO REPORTA,-,-,91.001.000,1
01/01/2019 00:00,AMAZONAS,LETICIA (CT),ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,18:00:00,NO REPORTADO,RURAL,CASAS DE APUESTAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,21,FEMENINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,91.001.000,1
01/01/2019 00:00,ANTIOQUIA,ABRIAQUÍ,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,00:00:00,SAN JOSE,RURAL,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,A PIE,16,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,5.004.000,1
01/01/2019 00:00,ANTIOQUIA,AMAGÁ,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,10:00:00,LA GUALI,RURAL,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,A PIE,4,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,5.030.000,1
01/01/2019 00:00,ANTIOQUIA,AMAGÁ,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,10:00:00,LA GUALI,RURAL,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,A PIE,8,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,PRIMARIA,5.030.000,1
01/01/2019 00:00,ANTIOQUIA,AMAGÁ,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,10:00:00,LA GUALI,RURAL,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,A PIE,28,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,5.030.000,1
01/01/2019 00:00,ANTIOQUIA,BELLO,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,00:00:00,LOS SAUCES,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,12,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,5.088.000,1
01/01/2019 00:00,ANTIOQUIA,BELLO,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,00:00:00,LOS SAUCES,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,SECUNDARIA,5.088.000,1
01/01/2019 00:00,ANTIOQUIA,BELLO,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,10:00:00,LA GABRIELA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,9,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,PRIMARIA,5.088.000,1
01/01/2019 00:00,ANTIOQUIA,BELLO,ARTÍCULO 219 A. UTILIZACIÓN O FACILITACIÓN DE MEDIOS DE COMUNICACIÓN PARA OFRECER SERVICIOS SEXUALES DE MENORES,Martes,09:00:00,PARIS CENTRAL,URBANA,RED VIRTUAL O INTERNET,NO REPORTADO,A PIE,A PIE,29,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,TECNICO PROFESIONAL EN ARCHIVISTICA,SECUNDARIA,5.088.000,1
